,Glyph,Keep,English+,English Tailored
365,💇‍♀️,TRUE,Chop,
366,💇,FALSE,,
367,💇‍♂️,FALSE,Manbun,
368,💆‍♀️,TRUE,Shiatsu,
369,💆,FALSE,,
370,💆‍♂️,FALSE,Masseuse,
371,🧖‍♀️,TRUE,"Bota Bota, Sauna, Hammam",
372,🧖,TRUE,"Steamie, Sauna, Schvitz",A steamy and a poutine pls
373,🧖‍♂️,TRUE,"Hot Spring, Banya, Schvitz",
374,💅,TRUE,"Nail, Sephora, Slay",
375,🤳,FALSE,Selfie,
376,💃,TRUE,"Beyoncé, Fergie, Choreo, Swing, Flamenco","Fancy Footwork, Anita Ride"
377,🕺,TRUE,"Presley, Astaire, Bonjangles, Swayze, Travolta, Walken, Prince, Kravitz",Livin La Vida Loca
378,👯‍♀️,TRUE,Can-Can,Mean Girls
379,👯,FALSE,,
380,👯‍♂️,FALSE,Squaredance,
381,🕴️,TRUE,Jump,"Canadian Tuxedo, And The Oscar Goes To"
382,👩‍🦽,FALSE,,
383,🧑‍🦽,FALSE,,
384,👨‍🦽,FALSE,,
388,👩‍🦼,FALSE,,
389,🧑‍🦼,FALSE,,
390,👨‍🦼,FALSE,,
394,🚶‍♀️,TRUE,Swagger,
395,🚶,TRUE,,
396,🚶‍♂️,TRUE,Strut,
400,👩‍🦯,TRUE,,
401,🧑‍🦯,TRUE,,
402,👨‍🦯,TRUE,,
406,🧎‍♀️,FALSE,Kneel,
407,🧎,FALSE,,
408,🧎‍♂️,FALSE,Pew,
409,🏃‍♀️,TRUE,Sprint,
410,🏃,TRUE,Terry,
411,🏃‍♂️,TRUE,"Marathon, Splint, Stitch, Blister, Hamstring, Cramp",
418,🧍‍♀️,TRUE,,
419,🧍,FALSE,,
420,🧍‍♂️,FALSE,,
421,👫,FALSE,,
422,👭,FALSE,,
423,👬,FALSE,,
424,👩‍❤️‍👨,FALSE,,
425,👩‍❤️‍👩,FALSE,,
426,💑,FALSE,,
427,👨‍❤️‍👨,FALSE,,
428,👩‍❤️‍💋‍👨,FALSE,PDA,
429,👩‍❤️‍💋‍👩,FALSE,,
430,💏,FALSE,,
431,👨‍❤️‍💋‍👨,FALSE,,
0,👨‍👩‍👦,FALSE,,
0,👨‍👩‍👧,FALSE,,
0,👨‍👩‍👧‍👦,FALSE,,
0,👨‍👩‍👦‍👦,FALSE,,
0,👨‍👩‍👧‍👧,FALSE,,
0,👩‍👩‍👦,FALSE,,
0,👩‍👩‍👧,FALSE,,
0,👩‍👩‍👧‍👦,FALSE,,
0,👩‍👩‍👦‍👦,FALSE,,
0,👩‍👩‍👧‍👧,FALSE,,
0,👨‍👨‍👦,FALSE,,
0,👨‍👨‍👧,FALSE,,
0,👨‍👨‍👧‍👦,FALSE,,
0,👨‍👨‍👦‍👦,FALSE,,
0,👨‍👨‍👧‍👧,FALSE,,
0,👩‍👦,FALSE,,
0,👩‍👧,FALSE,,
0,👩‍👧‍👦,FALSE,,
0,👩‍👦‍👦,FALSE,,
0,👩‍👧‍👧,FALSE,,
0,👨‍👦,FALSE,,
0,👨‍👧,FALSE,,
0,👨‍👧‍👦,FALSE,,
0,👨‍👦‍👦,FALSE,,
0,👨‍👧‍👧,FALSE,,
432,🪢,TRUE,Knot,Do Knot Disturb
433,🧶,TRUE,"Yarn, Crochet, Knit, Ball, Hank, Cake, Wool, Tuft, Purl","Darn It To Heck, Tied Up, Winding Down, Tight Knit"
434,🧵,TRUE,"Thread, Spool, Seam, Bobbin, Loom, Weave","Pullin Strings, Hangin By A Thread, Tying Up Gulliver, Raskin Bobbins, A Stitchy Situation, Back in a Stitch, Hemming & Hawing"
435,🪡,TRUE,"Thread, Sew, Darn, Needle, Cross Stitch, Embroidery, Seam, Hem, Tailor","Sew Refreshing, A Stitchy Situation"
436,🧥,TRUE,Trenchcoat,
437,🥼,TRUE,"Science, Experiement, PhD, Doctor, Pipette","Experimental Jacket, Lab Rat"
438,🦺,TRUE,"Vest, Forklift, Crabber, Bulldozer, Jackhammer, Hazmat, Blaster, Toka","Moral Hazard, I Sure Hope It Does, Safety Dancer, Men At Work, Vesting Schedule"
439,👚,TRUE,"Blouse, Shirt",
440,👕,TRUE,Polo,"Had To Do It To Em, Collar McPoppins, Marco Polo"
441,👖,TRUE,"Levis, Bellbottom, Bootcut, Denim, Jeans","String Jeenz, Jransit Javatar, Javatar Jemoji, Boots With The Fur"
442,🩲,TRUE,"Knickers, Skivvies, Speedo, Phelps, Daley","In Brief, Support System, Cover Your Tail, Taking The Plunge, Life In The Fast Lane"
443,🩳,TRUE,"Shorts, Kowabunga","Beach Boy, Beachy Keen"
444,👔,TRUE,"Cravat, 9-to-5","Grindset Mindset, Stock Options, Bateman Bait, RIP Paul Allen, Sharp Dressin, Business! Synergy!, Corps de Corporate "
445,👗,TRUE,"Mumu, Dress, Gown, Twirl","Yes It Has Pockets, Watch Me Twirl, Eleganza Extravaganza"
446,👙,TRUE,"Bikini, Brazil, Tanline","Shore Thing, Beachy Keen"
447,🩱,TRUE,"Suit, Leotard, Ledecky, McIntosh, Carlson","Life in the Fast Lane, Lappin It Up, Chlorine Queen"
448,👘,TRUE,Kimono,
449,🥻,TRUE,Sari,
450,🩴,TRUE,"Gladiator, Flip-Flop, Havaiana","Cold Feet, Brazilian Standard, Flippity Floppery"
451,🥿,TRUE,"Shoe, Slipper, Moccasin, Espadrille, Flat, Loafer",
452,👠,TRUE,"Heel, Stiletto, Pump","Bradshaw Assets, Standing Tall, Clickity Clack, Strut Support"
453,👡,TRUE,Sandal,"Summer Strut, Petty Pedi, Tom Sandalval"
454,👢,TRUE,"Boot, Stomper, Strut","The Chanel Boots, Boots The House Down, Spur Of The Moment"
455,👞,TRUE,"Shoo, Loafer, Doc, Oxford","On The Other Foot Now, Loafer? I Barely Know Her!, A Total Shoe-In"
456,👟,TRUE,"Hypebeast, Trackie, Jogger, Sneaks","Stockx User, What Are Thoooooose, Damn Daniel, Creaseless King, Tiptoeing In My Jordans"
457,🥾,TRUE,"Hike, Trail, Trek, Timberland, Gorp, Granola","Touchin Grass, Take A Hike, Out of Doors & In of Nature, I Love Moss, On The Rocks"
458,🧦,TRUE,Socks,"Sock Options, Ed The Sock, Sock It To Me"
459,🧤,TRUE,Mitten,"Kid Gloves, Smitten Mittens, I Glove You"
460,🧣,TRUE,"Scarf, Cozy, Hygge, Lenny",All too well
461,🎩,TRUE,"Top Hat, Chaplin, Slash, Wonka, Seuss, Babadook, Lincoln","Hello My Baby, Hello My Honey, Hello My Ragtime Gal, Top O' The Mornin', There Be Rabbits, Lincoln Build, Yankee Doodle"
462,🧢,TRUE,"Normie, Cap",No Cap
463,👒,TRUE,"Bow, Madeline",Anne of Green Travels
464,🎓,TRUE,"Graduate, Diploma, Student, Academic, Peer Review, Undergrad","Peer-Reviewed Commute, No Sleep Til Thesis, Calm and Collegial, I'd Like To Thank The Academy, Diplomatic Pursuit"
465,⛑️,FALSE,Hamlet,
466,🪖,TRUE,"Apocalypse, Genghis, Sun Tzu, Titus, Commando","In The Trenches, Behind Enemy Lines, Psychological Warfare, Unconditional Surrender, Red Alert, DEFCON 5"
467,👑,TRUE,"Ubu, Claudius, Caesar, Cymbeline, Leontes, Duncan, Hamlet, Lear, Macbeth, Henry, Richard, Arthur, Tutankhamun, Constantine, James, Charlemagne","Crown Noser, Head Honcho, Queen's Gambit, Royal Pain, King's Ransom, Power Trip, Royal Flex, All Hail, RIP Caesar, Guillotine Magnet"
468,💍,TRUE,"Jewel, Hoop, Diamond, Proposal, Emerald, Ruby, Sapphire, Topaz, Jade, Onyx, Jubilee, Marquise","Put a ring on it, I Said Yes, All Carats No Carrots, My Precious"
469,👝,TRUE,Clutch,"Purse First, Coming In Clutch"
470,👛,TRUE,Purse,"Loonies & Toonies, Laundry Fund"
471,👜,TRUE,Handbag,"It's In Here Somewhere, Receipt Graveyard, Land Of Lost Lipbalms, Secure The Bag, All About The Bag, What's In My Birkin, What's In My Bag"
472,💼,TRUE,Briefcase,"I'll Be Brief, Case Closed, On Retainer, Saul Goodman"
473,🎒,TRUE,"Knapsack, Duffel, Nomad, Satchel, Backpack","Land of Lost Homework, Nothin But Duo-Tangs"
474,🧳,TRUE,Voyage,"Scarborough Suitcase, Bon Voyage, Around Da World, Pack It Up, Vacational Baggage, Vacation Vocation, Catch Flights Not Feelings"
475,👓,TRUE,"Vision, Bifocal, Specs","Lookin Spectacular, A Spectacle of Spectacles, Which Is Better, One Or Two, E FP TOZ LPED, Snellen Student"
476,🕶️,TRUE,"Tint, Aviator, Aykroyd, Belushi",Rhode Eyeland
477,🥽,TRUE,Goggle,"Diet Coke vs Mentos, Do It For Science, Feelin Experimental, Experimental Endeavours"
478,🌂,TRUE,"Umbrella, Tom, Ri-Ri, Gene, Debbie, Donald ",Singin' In The Rain
479,🐶,TRUE,"Doggo, Pooch, Puppy, Woof, Bark, Beagle, Chihuahua, Mastiff, Shih Tzu, Muzzle, Fetch, Sniff, Kibble, K9, Mona, Mojo, Newton, Layla, Dotty, Maurice, Willow, Fuji, Atlas, Biggie Smalls, Rio, Molly, Chap, Remmy, Vinny","Branch Manager, That's So Fetch, Whitney Chewston"
480,🐱,TRUE,"Sphynx, Cat, Meow, Feline, Kitty, Eli, Bennu, Stella, Dora, Siva, Rhiannon, Artù, Clem, Pumpkin, Jazz, Raphael, Edie, Madeleine, Dobby, Loki, Charlie, Chopin, Charlotte, Pozole, Sammi, Prune, Plume, Brume, Fen, Sylvie, Linus, Olafur, Ellana, Igor, Vlad, Mira, Coco, Kevin, Clara, Mina, Ricky, Cibou, Suki, Alfred, Apollo, Samwise Gamgee, Romeo, Pawlie Walnuts, Tournesol, Munchkin, Jojo, Maple, Zoozie, Pickle, Citron, Smokey, Minoune, Basil, Cannoli","Couch Destroyer, I Can Haz Cheeseburger, Power Meower, Meowdy Partner"
481,🐭,TRUE,"Roommate, Jaq, Gus, Remy, Mouse, Rat, Squeak, Scamper","Rat-My-Ride, Speedy Gonzales, Exsqueak Me, Computer Mouse"
482,🐹,TRUE,"Hamstah, Hamster, Hamtaro, Cheekz","Speed Wheeler, Spinnin My Wheels, Feelin Cheeky, Cardio Critter"
483,🐰,TRUE,"Bunny, Thumper, Rabbit, Hopper, Bergamote, Donnie, Peter, Bugs, Dingo","Hoppy To Be Here, Rabbit Hole, Multiplication Sign, No Time To Say Hello Goodbye, I'm Late I'm Late I'm Late, A Harey Situation"
484,🦊,TRUE,"Fox, Whisker, Vixen, Robin, Pelt, Renardo, Swiper","Feelin Foxy, What Does He Say, No Swiping, Den Dweller"
485,🐻,TRUE,"Bear, Neighbor, Teddy, Winnie, Yogi, Grizzly","Tree Hugger, Bear Minimum, Grandfather Claws, Porridge Preference, Goldilocks Roomie, Life's A Pic-A-Nic "
486,🐼,TRUE,"Panda, Po, Bear","Panda Monium, Last Night's Makeup, Natural Smokey Eye, Bamboo Bites"
487,🐻‍❄️,TRUE,"Nanuq, Tundra, Yukon, Nunavut, Frosty, Polar, Aurora","If It's White Goodnight, Manitoba Squirrel, Welcome 2 Churchill, Snow Patrol"
488,🐨,TRUE,Koala,"Tree Hugger, Pass The Eucalyptus"
489,🐯,TRUE,Bobcat,Claws Out
490,🦁,TRUE,"Mufasa, Lion, Alex, Leo","Cryin Lion, Takin Pride"
491,🐮,TRUE,"Cow, Heifer, Angus, Moo, Udder, Pasture, Holstein, Bessie, Daisy","Udderly Beautiful, I'll Have An Udder, Over The Moon"
492,🐷,TRUE,"Porkus, Porky, Piggy, Piglet, Oink","Ham Radio, Makin Bacon, Wilbur's Revenge"
493,🐽,TRUE,"Snort, Oink","Snort Cavort, Truffle Finder"
494,🐸,TRUE,"Froggo, Wart, Prince, Polliwog, Ribbit, Slime, Kermit, Tadpole, Croak, Bullfrog, Toad, Jeremiah, Peepo","Ribbit Ribbit, Jumping Ship, Kermit Permit, Leap Of Faith, Froggy Woggy, Caribbean Amphibian"
495,🐵,TRUE,"Bonobo, Capuchin, Gibbon, Ape",
496,🙈,TRUE,"Macaque, Ignorance, Denial, Blindfold, Blinders, Shroud, See-No","I Ain't Seen Nothin, See No Evil, Ignorance Is Bliss, Nothing To See Here Boss, Peek A Boo, Eyes Wide Shut, Cover Ur Eyes, No Witnesses, Blinders On"
497,🙉,TRUE,"Baboon, Eavesdropper",Selective Hearing
498,🙊,TRUE,Ape,"Gag Order, Hush Hush, Say No More, Sworn 2 Secrecy, This Stays Here, Pipe Down, You Ain't Heard Nothin, No Snitchin, Take It 2 Da Grave"
499,🐒,TRUE,"Chimp, Codemonkey, Monkey","Funky Monkey, Chimpanzini Bananini"
500,🐔,TRUE,"Roostah, Yardbird, Drumstick, Nugget, Comb, Cockadoodle, Capon, Cluck, Coop, Fowl, Chicken, Hen","Fly The Coop, Cocka Doodle, Strut Your Stuff, Pecking Order, Loud And Proud, Ye Olde Alarm Clock"
501,🐧,TRUE,"Penguin, Pingu, Crosby, Lemieux, Jagr, Malkin, Skipper, Kowalski, Rico, Private, Puffin","Smile And Wave, Penguin Suit, No Fly List, Cold Feet, All Hail The Emperor, Slippery When Wet, Slide Into My DMs, Frulli Frulla"
502,🐦,TRUE,"Magpie, Woodpecker, Pigeon, Pidgey, Tweeter","A Real Coo Guy, Gull Hypothesis"
503,🐤,TRUE,"Birb, Tweety",Tawt I Taw a Puddy
504,🐣,TRUE,"Chick, Gosling, Eaglet, Peep, Juvie",Ryan Gosling
505,🐥,TRUE,"Chick, Tweety, Peep, Beeb, Birb",
506,🪿,TRUE,"Squonk, Quack, Waddle, Gander, Mother, Goose, Honk","Silly Goose, Business Goose, Peace Was Never An Option, Loosey Goosey, Mother Goose, Bombombini Gusini"
507,🦆,TRUE,"Duck, Mallard, Donald, Quack","Pond Dweller, Sitting Duck, Mighty Duck, Quack Doctor, Swimmin In Circles, Lame Duck President, Floatin Duck, A Way With Birds, Flock Together"
508,🐦‍⬛,TRUE,"Raven, Poe, Omen, Tweet","That's So Raven, Quoth The Raven, Nevermore, Caw Caw, Ravenous Appetite, Ruffle My Feathers"
509,🦅,TRUE,"Eagle, Talon, Wingspan, Baldy","Regal Eagle, What Is A Kilometer, Spread Eagle, The Eagle Has Landed, Sweet Home Alabama"
510,🦉,TRUE,"Owl, Hoot","Owl On The Prowl, What A Hoot, A Real Hoot"
511,🦇,TRUE,"Bat, Rhysand, Cassian, Azriel","Aerial Rat, Bats All Folks, Sonar Star, Ding Bat"
512,🐺,TRUE,"Wolf, Howl, Timberwolf, Graywolf","Party Wolf, I'm Big I'm Bad, Lycan Subscribe, Call Of The Wild, Wolf Parade"
513,🐗,TRUE,"Hog, Bristles, Boar, Warthog, Snout, Pumbaa, Tusk, Swine","Moar Boar, Pumbaa On A Roomba"
514,🐴,TRUE,"Mane, Colt, Steed, Bronco, Pony, Mustang, Moscow, Mare, Stallion","Yung Buck, Pony Hawk, All The King's Horses, Horsepocalypse, Horsin Around, Italian Stallion"
515,🦄,TRUE,"Unicorn, Tutu, Sparklehoof, Twinklehorn, Moonbeam, Jinglebells, Charlie","Tapestry Muse, The Unicorns"
516,🫎,TRUE,"Moosehead, Bullwinkle, Caribou, Antler, Stag, Moosejaw, Moose","Loose Moose, Hoofin It "
517,🐝,TRUE,"Beeswax, Buzz, Hive, Sting, Nectar, Swarm, Honeycomb, Barry","Ya Like Jazz, Sting Like A Bee, Hive Mind, Beez Kneez"
518,🪱,TRUE,"Wiggle, Worm",
519,🐛,TRUE,"Boog, Caterpillar","Hungry Lil Guy, Wriggle Free"
520,🦋,TRUE,"Butterfly, Flutter, Moth, Cocoon, Monarch, Flit, Meadow, Wander","Pretty Fly, Absolute Monarch"
521,🐌,TRUE,"Snail, Slug, Escargot, Crawlah, Mollusk, Conch, Helix, Gary","Sluggin It Out, Shell Company, Inching Along, Male Snail, Tough As Snails"
522,🐞,TRUE,"Junebug, Beetle, Ladybug, Ladybird, Spot, Polkadot","Buggin Out, Red Menace, Aerial Polka Dots, Lady Bug, Bugsy Malone"
523,🐜,TRUE,Ant,Ant Arctica
524,🪰,TRUE,"Bzzzt, Fly. Buzzer",Fly On The Wall
525,🪲,TRUE,"Ringo, John, George, Paul, Beetle","Beetle Mania, Shell Shock"
526,🪳,TRUE,"Crawlie, Roach","Creepy Crawlah, Last Man Standing, Jeepers Creepers"
527,🦟,TRUE,Mosquito,"Swat Team, Out For Blood, It's Giving West Nile, Ankle Biter, Bleed You Dry, Bzz Bzz, Muskoka Air Force"
528,🦗,TRUE,Cricket,"Jiminy Cricket, And The Crowd Goes Mild"
529,🕷️,TRUE,"Spidah, Tarantula, Crawlie, Spider, Arachnid","Itsy Bitsy Spider, Web Of Lies, Charlotte's Web, Creepy Crawly, Web Developer"
530,🕸️,TRUE,"Web, Gossamer, Loom, Charlotte","Web Of Lies, Spidey Census"
531,🦂,TRUE,"Venom, Scorpion, Scorpio, Snippy, Stinger",Sting Operation
532,🐢,TRUE,"Tortoise, Turtle, Leonardo, Donatello, Michelangelo, Raphael, Bubulle","Verbal Turtle, Slow N Steady, Koopa Shell, Ninja Turtle, Turtle Neck, Shellin Out, No Rush, Takin It Slow, Cowabunga Dude"
533,🐍,TRUE,"Python, Mamba, Snek","I Hate Ladders, Danger Noodle, Jake The Snake, Proficient In Python"
534,🦎,TRUE,"Gecko, Lizzie, Lizard","One Hundred Gecks, Lizard McGuire"
535,🦖,TRUE,"Rex, Tyranna","Bicep Curl, Dinosaur Jr., Tyrannosaurus Flex, Call The Vet"
536,🦕,TRUE,Dino,
537,🐙,TRUE,"Octopus, Cthulhu",
538,🦑,TRUE,"Squid, Calamari","Squid Pro Quo, Squid Game, Release The Kraken, Arms Race, Multi-Armed Bandit, Going Incognito, Armed To The Gills, Got My Arms Full"
539,🪼,TRUE,"Jellyfish, Jelly",Don't Be Jelly
540,🦐,TRUE,"Shrimp, Crawfish","Shrimply Wonderful, A Shrimp Fried This Rice, Krill Issue"
541,🦞,TRUE,"Lobstah, Lobster, Claw, Zoidberg","Mobster Lobster, Boiling Point, Clawing My Way Back, Pinch Me, The Claws Are Out, Claw Enforcement, Snappy Dresser, Pinch Hitter, Caught Red Handed, Ross & Rachel"
542,🦀,TRUE,"Crab, Pinch, Claw, Hermit, Sebastian, Prodigy, Cancer","Drab Crab, Crab Rave"
543,🐡,TRUE,"Blowfish, Balloon, Inflation, Puffer, Blowtoad, Fugu, Bubble",Exploding Sushi
544,🐠,TRUE,"Nemo, Guppy, Betta, Koi, Oscar, Dory, Flounder","Wake Up Fishy, Sharkbait OOH HA HA"
545,🐟,TRUE,"Tuna, Pisces","Catch of the Day, A Real Catch, Sushi V1, Long May Yer Big Jib Draw"
546,🐬,TRUE,"Flipper, 42, Dolphin, ","Thanks For All The Fish, I Don't Love Marineland"
547,🐳,TRUE,Whale,"Whale On A Scale, Whale of A Tale, RIP Marineland"
548,🐋,TRUE,"Willy, Ishmael, Ahab, Moby","Whale I'll Be Darned, Thar She Blows!, Call Me Ishmael, White Whale, Krillin It, Breach Of Protocol, Free Willy, Café Jonah"
549,🦈,TRUE,"Shawk, Hammerhead, Bull, Mako, Tiger, Jawz, Barracuda, Lenny","Pool Shark, Sharknado, Tralalero Tralala"
550,🦭,TRUE,"Blubber, Selkie, Andre, Whisker, Beachcomber",Seal of Approval
551,🐊,TRUE,"Krikey, Nile, Croc, Gator, Lizzie","Crocodile Tears, See Ya Later Alligator, Swamp Puppy, Bombardiro Crocodillo"
552,🐅,TRUE,"Tiger, Tony, Tigger, Hobbes, Stripes, Shere Khan","Paper Tiger, Cat's Meow, Tiger King, Extra Large Kitty, Going Feral, Scratch Post, Earning My Stripes"
553,🐆,TRUE,"Leopard, Spots, Cheetah","New Jersey Chic, Spotty Reception"
554,🦓,TRUE,"Zebra, Stripe, Safari, Serengeti, Savannah, Marty",
555,🦍,TRUE,"Gorilla, Kong, Silverback, Harambe, Powah","Hairy Situation, RIP Harambe, Absolute Unit, King Kong, Silverback Gorilla, Gorilla Warfare, Hairy Styles"
556,🦧,TRUE,"Orangutan, Louie, Ape, Primate, Tarzan, Pongo, Amber",Show & Tell with Amber
557,🦣,TRUE,"Mammoth, Tusky, Manny",
558,🐘,TRUE,"Dumbo, Mammoth, Tusk, Trunk, Safari, Stompah","Elephant & Castle, Mumbo Dumbo, Lirili Larila"
559,🦛,TRUE,"Chungus, Moo Deng, Hippo, Gloria",House Hippo
560,🦏,TRUE,"Rhino, Horn, Tank, Charge, Tusk","Thick Skin, War Horse, Phosphorous Rhinocerous, Built Like A Tank"
561,🐪,TRUE,"Camel, Desert, Oasis, Sahara, Nomad, Humpback, Dunebuggy, Mirage, Arabia, Dromadary",
562,🐫,TRUE,"Humpback, Sandcruiser, Camel","Speed Hump, Just Desert"
563,🦒,TRUE,"Giraffe, Neck, Spot, Safari, Hoof, Savannah, Melman","Bit Of A Stretch, The View From Up Top, Neckin Neck"
564,🦘,TRUE,"Roo, Joey, Boing, Hoppah, Wallaby, Pouch, Straya, Pogo, Outback, Jack","Conclusion Jumper, Kangaroo Court"
565,🦬,TRUE,"Stampede, Buffalo, Yellowstone, Badlands, Yak, Muskox, Bison, Musk","Welcome 2 The Badlands, Buffalo Buffalo Buffalo, Mike Bison"
566,🐃,TRUE,"Fuffalo, Bubalis, Plow, Buffalo, Bill",Buffalo Buffalo Buffalo
567,🐂,TRUE,"Beef, Steer, Minotaur, Longhorn, Ox, Taurus","China Shop Enemy #1, Full Bull, Pass Me The Ox"
568,🐄,TRUE,"Heifer, Bovine, Moo, Holstein, Angus, Jersey, Hay, Beef, Bellow","Udder Nonsense, Moovin and Groovin"
569,🫏,TRUE,"Donkey, Mule, Wildebeest, Eeyore","Shrek's Bestie, That Is A Nice Boulder, Swamp Roomie, Moscow Mule, Kentucky Mule, Pinnin Tails, Eeyore's Requiem"
570,🐎,TRUE,"Seabiscuit, Kentucky, Derby, Secretariat, Horse, Stallion","Onwards Patsy, Off To The Races, Thee Stallion"
571,🐖,TRUE,"Wilbur, Hog, Swine, Sow, Porkus, Piglet, Bacon, Ham, Snout, Oink, Grunt, Hogwash, Squeal, Truffler, Pig","Ball Hog, Lipsticked Pig, Got Wings?, Always Sweatin, Hoggin Attention, Piggy Bank, Peppa Pig, Oink Oink, Piggly Wiggly"
572,🐏,TRUE,"Ram, Ewe, Wool, Fleece, Bighorn, Headbutt, Aries","Paul McCartney, Battering Ram, Just A Lil Stubborn"
573,🐑,TRUE,"Sheep, Lamb, Wool, Fleece, Baaaa, Mutton, Flock, Shaun, Merino","Baa Baa, Bo Peep's Minion"
574,🦙,TRUE,"Llama, Alpaca, Michael, Jjason, Keith","Emperor Kuzco, Alpaca Pacino, Rama Llama Ding Dong, Barack O'Llama"
575,🐐,TRUE,"Goat, Billy, Hoof, G.O.A.T., Kid, Scapegoat, Capricorn, Emile","Da Goat No Cap, Billy The Kid, You've Goat To Be Kidding Me"
576,🦌,TRUE,"Rudolph, Dancer, Prancer, Dasher, Vixen, Comet, Cupid, Donner, Blitzen","Oh Deer, Deerly Beloved, Dancin & Prancin, Tame Impala, Rabid Impala"
577,🐕,TRUE,"Fido, Scooby, Lassie, Pluto, Snoopy, Clifford, Toto, Wishbone, Beethoven","That's So Fetch, Branch Manager, IRL Subwoofer, Ruh Roh Raggy"
578,🐩,TRUE,"Poochy, Showdog","Best In Show, Chateau Marmutt"
579,🦮,TRUE,,
580,🐕‍🦺,TRUE,,
581,🐈,TRUE,"Friska, Feline, Kitty, Purr, Tomcat, Tabby, Pussycat, Whisker, Meow, Garfield, Cheshire, Mittens, Whiskers, Snowball, Oliver, Catsgrain","I Can Haz Cheeseburger, Lasagna Lover, Trippi Troppi, Power Meower, Meowdy Partner, Catsgrain Avenue"
582,🐈‍⬛,TRUE,"Salem, Panther, Noir, Felix, Smokey, Onyx","I Can Haz Cheeseburger, Power Meower, Meowdy Partner, Miniature Void"
583,🪶,TRUE,"Flick, Plume, Quill, Feather, Fluff",Put That In Your Cap
584,🪽,TRUE,"Wingman, Griffin, Phoenix, Angel","Wingin It, Angels In The Outfield"
585,🐓,TRUE,"Roostah, Capon, Junglefowl, Strut, Peck, Cluck, Squawk, Puff, Cockadoodle",Before The Egg
586,🦃,TRUE,"Turkey, Gobble, Butterball",Real Turkeys of NDG
587,🦤,TRUE,"Dodo, Wipeout","I'm Ded, Unsuccessful Cliffhanger, I Believe I Can Fly"
588,🦚,TRUE,"Peacock, Plume, Vanity","Feelin Fancy, One Proud Peacock"
589,🦜,TRUE,"Parrot, Pollywog, Parakeet",Parroting Information
590,🦢,TRUE,"Swan, Cygnet, Pond, Poise, Odette",Swan Song
591,🦩,TRUE,"Flamingo, Florida, Pink, Bubblegum, Balance","Lawn Ornament, Shrimply Fabulous"
592,🕊️,TRUE,"Dove, Stork, Peace, Grace, Love, Hope","Olive Branch, Love Bird, Flew Too High, Lovey Dovey"
593,🐇,TRUE,"Bunny, Thumper, Bugs, Jackalope, Hop, Hare, Hollywood",Down The Rabbit Hole
594,🦝,TRUE,"Raccoon, Bandit","Trash Panda, Dumpster Diver, Garbage Prince, All Natural Smokey Eye"
595,🦨,TRUE,"Skunk, Stank, Pepé, Stinkybutt",Fragrantica User
596,🦡,TRUE,"Badger, Dig, Burrow, Snarl, Nuzzle, Tunnel","Honey Badger, Thick Skin, Margaret Badger"
597,🦫,TRUE,"Beavah, Bucktooth, Woodchipper, Dam",Dam Engineer
598,🦦,TRUE,"Otter, Whiskers, Swimmer, Slick, Chill","Swimmin Upstream, Otterly Obsessed, Why I Ottah"
599,🦥,TRUE,"Sloth, Slowpoke, Torpor, Doze, Dillydally, Loaf, Lazybones",Hang In There
600,🐁,TRUE,"Mouse, Mickey, Trap, Cheddar, Minnie, Pinky, Stuart, Itchy","Say Cheese, Mickey Mouse, Mouse Trap"
601,🐀,TRUE,"Rat, Ratking, Splinter, Templeton, Ratatouille","Charles Entertainment, Lab Rat"
602,🐿️,TRUE,"Chipmunk, Bushytail, Alvin, Chip, Dale","Feelin Chipper, Feelin Cheeky"
603,🦔,TRUE,"Hedgehog, Prickle, Spike, Sonic","Gotta Go Fast, Super Sonic"
604,🐾,TRUE,"Paw, Tread",Apawcalypse Now
605,🐉,TRUE,"Dragon, Drake, Basilisk, Hydra, Smaug, Roar, Dragonite, Charizard, Gyarados, Draig",Breath Mint
606,🐲,TRUE,"Moustache, Jabberwocky, Falkor, Spyro, Dragon","Here Be Dragons, Beware The Ogopogo"
608,🌵,TRUE,"Cactus, Thorn, Agave, Saguaro, Desert","Dill Prickle, Sharp Wit, Prickle Pickle"
609,🎄,TRUE,"Christmas, Yule, Tannenbaum, December","Hall Decker, It's Lit"
610,🌲,TRUE,"Spruce, Pine, Fir, Yew, Cedar, Vermont, Quebec, Vancouver, Pinecone","Fir Sure, Spruced Up, Spruce Beer, Conifer? I Barely Know Her!, Spruce Almighty, Redwood Bluewood"
611,🌳,TRUE,"Tree, Forest, Wood, Timber, Grove, Lumber, Trunk, Branch, Bark, Root, Oak, Maple, Cedar, Willow, Elm, Acorn, Foliage","Industry Plant, Branching Out"
612,🌴,TRUE,"Frond, Oasis, Coconut, Resort, Sun, Hammock, Hawaii, Bahamas, Fiji, Florida, Barbados, Tahiti, Bali, Jamaica, Aruba","Kickin Back, Hangin Loose, Puttin Ma Feet Up, Palm Beach, Beach Bum"
613,🪵,TRUE,"Wood, Timber, Lumber, Stick","Wood Stock, Shiver Me Timbers, Tung Tung Tung Sahur"
614,🌱,TRUE,"Basil, Shoot, Sprout","Touched Grass, Art Basil"
615,🌿,TRUE,"Mint, Spice, Thyme, Oregano, Sage, Dill","Parsley Sage Rosemary and Thyme, Herbal Remedy, Chimichurri V1, Mise En Pesto"
616,☘️,TRUE,"Shamrock, Clover",Shimmerin Limerick
